Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"A Multi-method Approach to the Assessment of Web Page Designs";"Affective Computing and Intelligent Interaction";"";"";"";"10.1007/978-3-540-74889-2_27";"S. J. WestermanE. J. SutherlandL. RobinsonH. PowellG. Tuck";"2007";"http://link.springer.com/chapter/10.1007/978-3-540-74889-2_27";"Chapter"
"A Multidimensional Workload Assessment Method for Power Grid Dispatcher";"Engineering Psychology and Cognitive Ergonomics";"";"";"";"10.1007/978-3-319-91122-9_5";"Bingbing SongZhen WangYanyu LuXiaobi TengXinyi ChenYi ZhouHai YeShan Fu";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91122-9_5";"Chapter"
"A Multimodal Approach for Online Estimation of Subtle Facial Expression";"Advances in Multimedia Information Processing – PCM 2012";"";"";"";"10.1007/978-3-642-34778-8_37";"Xiaohong XiangMohan S. Kankanhalli";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-34778-8_37";"Chapter"
"A Multimodal Information Collector for Content-Based Image Retrieval System";"Neural Information Processing";"";"";"";"10.1007/978-3-642-24965-5_83";"He ZhangMats SjöbergJorma LaaksonenErkki Oja";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-24965-5_83";"Chapter"
"A Multimodal Interface for Virtual Information Environments";"Virtual, Augmented and Mixed Reality. Multimodal Interaction";"";"";"";"10.1007/978-3-030-21607-8_5";"Jeffrey T. HansbergerChao PengVictoria BlakelySarah MeachamLizhou CaoNicholas Diliberti";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-21607-8_5";"Chapter"
"A Multimodal Real-Time Platform for Studying Human-Avatar Interactions";"Intelligent Virtual Agents";"";"";"";"10.1007/978-3-642-15892-6_6";"Hui ZhangDamian FrickerChen Yu";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-15892-6_6";"Chapter"
"A Multimodal framework for Interacting with Virtual Environments";"Human Interaction with Complex Systems";"";"";"";"10.1007/978-1-4613-1447-9_5";"Rajeev SharmaThomas S. HuangVladimir I. Pavlovi’c";"1996";"http://link.springer.com/chapter/10.1007/978-1-4613-1447-9_5";"Chapter"
"A Neuro-fuzzy Approach to User Attention Recognition";"Artificial Neural Networks - ICANN 2008";"";"";"";"10.1007/978-3-540-87536-9_95";"Stylianos AsteriadisKostas KarpouzisStefanos Kollias";"2008";"http://link.springer.com/chapter/10.1007/978-3-540-87536-9_95";"Chapter"
"A Neuroaesthetic Study of the Cerebral Perception and Appreciation of Paintings by Titian Using EEG and Eyetracker Measurements";"Symbiotic Interaction";"";"";"";"10.1007/978-3-319-24917-9_3";"Francesca BabiloniDario RossiPatrizia CherubinoArianna TrettelDaniela PicconiAnton Giulio MaglioneGiovanni VecchiatoFabio Babiloni";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-24917-9_3";"Chapter"
"A New Corpus of Collaborative Dialogue Produced Under Cognitive Load Using a Driving Simulator";"Text, Speech, and Dialogue";"";"";"";"10.1007/978-3-319-64206-2_43";"George Christodoulides";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-64206-2_43";"Chapter"
"A Note on Brain Actuated Spelling with the Berlin Brain-Computer Interface";"Universal Access in Human-Computer Interaction. Ambient Interaction";"";"";"";"10.1007/978-3-540-73281-5_83";"Benjamin BlankertzMatthias KrauledatGuido DornhegeJohn WilliamsonRoderick Murray-SmithKlaus-Robert Müller";"2007";"http://link.springer.com/chapter/10.1007/978-3-540-73281-5_83";"Chapter"
"A Novel Virtual Reality Driving Environment for Autism Intervention";"Universal Access in Human-Computer Interaction. User and Context Diversity";"";"";"";"10.1007/978-3-642-39191-0_52";"Dayi BianJoshua W. WadeLian ZhangEsubalew BekeleAmy SwansonJulie Ana CrittendonMedha SarkarZachary WarrenNilanjan Sarkar";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39191-0_52";"Chapter"
"A Novel Way of Estimating a User’s Focus of Attention in a Virtual Environment";"Virtual, Augmented and Mixed Reality: Interaction, Navigation, Visualization, Embodiment, and Simulation";"";"";"";"10.1007/978-3-319-91581-4_6";"Xuanchao HeZhejun Liu";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91581-4_6";"Chapter"
"A Passive Brain-Computer Interface for Supporting Gaze-Based Human-Machine Interaction";"Universal Access in Human-Computer Interaction. Design Methods, Tools, and Interaction Techniques for eInclusion";"";"";"";"10.1007/978-3-642-39188-0_71";"Janna ProtzakKlas IhmeThorsten Oliver Zander";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39188-0_71";"Chapter"
"A Portable and Self-presenting Robotic Ecology HRI Testbed";"Evolving Ambient Intelligence";"";"";"";"10.1007/978-3-319-04406-4_14";"Anara SandygulovaMauro Dragone";"2013";"http://link.springer.com/chapter/10.1007/978-3-319-04406-4_14";"Chapter"
"A Proposal for the Selection of Eye-Tracking Metrics for the Implementation of Adaptive Gameplay in Virtual Reality Based Games";"Virtual, Augmented and Mixed Reality";"";"";"";"10.1007/978-3-319-57987-0_30";"Jose L. Soler-DominguezJorge D. CambaManuel ConteroMariano Alcañiz";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-57987-0_30";"Chapter"
"A Review of Personnel Selection Approaches for the Skill of Decision Making";"Augmented Cognition. Enhancing Cognition and Behavior in Complex Human Environments";"";"";"";"10.1007/978-3-319-58625-0_34";"Irwin HudsonLauren Reinerman-JonesGrace Teo";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58625-0_34";"Chapter"
"A Review on Artificial Intelligence in Special Education";"Information Systems, E-learning, and Knowledge Management Research";"";"";"";"10.1007/978-3-642-35879-1_46";"Athanasios S. DrigasRodi-Eleni Ioannidou";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-35879-1_46";"Chapter"
"A Role of Augmented Reality in Educational Contents: Intermediating Between Reality and Virtual Reality";"Virtual, Augmented and Mixed Reality";"";"";"";"10.1007/978-3-319-39907-2_70";"Shohei TsuchidaShu Matsuura";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-39907-2_70";"Chapter"
"A Serious Games System for the Analysis and the Development of Visual Skills in Children with CVI";"Smart Objects and Technologies for Social Good";"";"";"";"10.1007/978-3-319-61949-1_17";"Ombretta GaggiTeresa Maria SgaramellaLaura NotaMargherita BortoluzziSara Santilli";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-61949-1_17";"Chapter"
"A Single-Camera Remote Eye Tracker";"Perception and Interactive Technologies";"";"";"";"10.1007/11768029_25";"André MeyerMartin BöhmeThomas MartinetzErhardt Barth";"2006";"http://link.springer.com/chapter/10.1007/11768029_25";"Chapter"
"A Step towards Adaptive Multimodal Virtual Social Interaction Platform for Children with Autism";"Universal Access in Human-Computer Interaction. User and Context Diversity";"";"";"";"10.1007/978-3-642-39191-0_51";"Esubalew BekeleMary YoungZhi ZhengLian ZhangAmy SwansonRebecca JohnstonJulie DavidsonZachary WarrenNilanjan Sarkar";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39191-0_51";"Chapter"
"A Structural Representation Adapted to Handwritten Symbol Recognition";"Graphics Recognition Recent Advances";"";"";"";"10.1007/3-540-40953-X_19";"Jean-Yves RamelGuillaume BoissierHubert Emptoz";"2000";"http://link.springer.com/chapter/10.1007/3-540-40953-X_19";"Chapter"
"A Structured Approach for Designing Adaptive Interactive Systems by Unifying Situation-Analytics with Model- and Pattern-Based User Interface Development";"Computer-Human Interaction Research and Applications";"";"";"";"10.1007/978-3-030-32965-5_3";"Christian MärtinChristian HerdinJürgen EngelFelix Kampfer";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-32965-5_3";"Chapter"
"A Study of Cognitive Behavior in Relation to the Elderly Visual Experiences";"Universal Access in Human-Computer Interaction. User and Context Diversity";"";"";"";"10.1007/978-3-642-39191-0_64";"Delai MenXiaoping HuWen Cing-Yan NivalaRobert C. C. Chen";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39191-0_64";"Chapter"
"A Study of Drivers’ Blind Spot in Used of Eye Tracking";"Human Interface and the Management of Information. Information and Knowledge in Applications and Services";"";"";"";"10.1007/978-3-319-07863-2_25";"Yen-Yu KangYuh-Chuan ShihChih-Chan ChengChi-Long Lin";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07863-2_25";"Chapter"
"A Study on Diversified Emotional Interaction Mode of Users";"HCI International 2018 – Posters' Extended Abstracts";"";"";"";"10.1007/978-3-319-92279-9_56";"Wenlan Luo";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-92279-9_56";"Chapter"
"A Study on Time Differences between Actual Advertisement Viewing and Retrospective Perception";"Design, User Experience, and Usability. User Experience in Novel Technological Environments";"";"";"";"10.1007/978-3-642-39238-2_50";"Miao-Hsien ChuangChiwu Huang";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39238-2_50";"Chapter"
"A Study on the Development of the Psychological Assessment a Using Eye-Tracking: Focused on Eye Gaze Processing of Literacy Text";"Augmented Cognition";"";"";"";"10.1007/978-3-030-22419-6_6";"Joon Hyun JeonGyoung KimJeong Ae Kim";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-22419-6_6";"Chapter"
"A Survey of Ergonomic Studies";"The Ergonomics of Computer Pointing Devices";"";"";"";"10.1007/978-1-4471-0917-4_4";"Sarah A. Douglas AB, MS, PhDAnant Kartik Mithal BTech, MS, PhD";"1997";"http://link.springer.com/chapter/10.1007/978-1-4471-0917-4_4";"Chapter"
"A Task-Driven Eye Tracking Dataset for Visual Attention Analysis";"Advanced Concepts for Intelligent Vision Systems";"";"";"";"10.1007/978-3-319-25903-1_55";"Yingyue XuXiaopeng HongQiuhai HeGuoying ZhaoMatti Pietikäinen";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-25903-1_55";"Chapter"
"A Taxonomy for Website Evaluation Tools Grounded on Semiotic Framework";"Universal Access in Human-Computer Interaction. Methods, Technologies, and Users";"";"";"";"10.1007/978-3-319-92049-8_3";"Vagner Figueredo de SantanaMaria Cecília Calani Baranauskas";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-92049-8_3";"Chapter"
"A Usability Study of Dynamic Geometry Software’s Interfaces";"HCI International 2013 - Posters’ Extended Abstracts";"";"";"";"10.1007/978-3-642-39473-7_36";"Serap YağmurKürşat Çağıltay";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39473-7_36";"Chapter"
"A Usability Study of WebMaps with Eye Tracking Tool: The Effects of Iconic Representation of Information";"Human-Computer Interaction. New Trends";"";"";"";"10.1007/978-3-642-02574-7_2";"Özge AlaçamMustafa Dalcı";"2009";"http://link.springer.com/chapter/10.1007/978-3-642-02574-7_2";"Chapter"
"A Video Compression Scheme with Optimal Bit Allocation Between Displacement Vector Field and Displaced Frame Difference";"Rate-Distortion Based Video Compression";"";"";"";"10.1007/978-1-4757-2566-7_6";"Guido M. SchusterAggelos K. Katsaggelos";"1997";"http://link.springer.com/chapter/10.1007/978-1-4757-2566-7_6";"Chapter"
"A Virtual Reality Driving Environment for Training Safe Gaze Patterns: Application in Individuals with ASD";"Universal Access in Human-Computer Interaction. Access to Learning, Health and Well-Being";"";"";"";"10.1007/978-3-319-20684-4_66";"Joshua WadeDayi BianJing FanLian ZhangAmy SwansonMedha SarkarAmy WeitlaufZachary WarrenNilanjan Sarkar";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-20684-4_66";"Chapter"
"A Visual Attention Model Based on Human Visual Cognition";"Advances in Brain Inspired Cognitive Systems";"";"";"";"10.1007/978-3-030-00563-4_26";"Na LiXinbo ZhaoBaoyuan MaXiaochun Zou";"2018";"http://link.springer.com/chapter/10.1007/978-3-030-00563-4_26";"Chapter"
"A blueprint for integrated eye-controlled environments";"Universal Access in the Information Society";"";"8";"4";"10.1007/s10209-009-0145-4";"D. BoninoE. CastellinaF. CornoA. GaleA. GarboK. PurdyF. Shi";"2009";"http://link.springer.com/article/10.1007/s10209-009-0145-4";"Article"
"A coarse vectorisation as an initial representation for the understanding of line drawing images";"Graphics Recognition Algorithms and Systems";"";"";"";"10.1007/3-540-64381-8_38";"J. Y. RamelN. VincentH. Emptoz";"1998";"http://link.springer.com/chapter/10.1007/3-540-64381-8_38";"Chapter"
"A cognition-centered personalization framework for cultural-heritage content";"User Modeling and User-Adapted Interaction";"";"29";"1";"10.1007/s11257-019-09226-7";"George E. RaptisChristos FidasChristina KatsiniNikolaos Avouris";"2019";"http://link.springer.com/article/10.1007/s11257-019-09226-7";"Article"
"A comprehensive survey of AR/MR-based co-design in manufacturing";"Engineering with Computers";"";"";"";"10.1007/s00366-019-00792-3";"Peng WangShusheng ZhangMark BillinghurstXiaoliang BaiWeiping HeShuxia WangMengmeng SunXu Zhang";"2019";"http://link.springer.com/article/10.1007/s00366-019-00792-3";"Article"
"A comprehensive survey on non-photorealistic rendering and benchmark developments for image abstraction and stylization";"Iran Journal of Computer Science";"";"2";"3";"10.1007/s42044-019-00034-1";"M. P. Pavan KumarB. PoornimaH. S. NagendraswamyC. Manjunath";"2019";"http://link.springer.com/article/10.1007/s42044-019-00034-1";"Article"
"A framework for the descriptive specification of awareness support in multimodal user interfaces for collaborative activities";"Journal on Multimodal User Interfaces";"";"12";"2";"10.1007/s12193-017-0255-x";"Jesús GallardoCrescencio BravoAna Isabel Molina";"2018";"http://link.springer.com/article/10.1007/s12193-017-0255-x";"Article"
"A gamma type-2 defuzzification method for solving a solid transportation problem considering carbon emission";"Applied Intelligence";"";"48";"11";"10.1007/s10489-018-1173-7";"Dipanjana SenguptaAmrit DasUttam Kumar Bera";"2018";"http://link.springer.com/article/10.1007/s10489-018-1173-7";"Article"
"A genetic programming approach to the evolution of brain–computer interfaces for 2-D mouse–pointer control";"Genetic Programming and Evolvable Machines";"";"13";"3";"10.1007/s10710-012-9161-x";"Riccardo PoliMathew SalvarisCaterina Cinel";"2012";"http://link.springer.com/article/10.1007/s10710-012-9161-x";"Article"
"A geometric approach to remote eye tracking";"Universal Access in the Information Society";"";"8";"4";"10.1007/s10209-009-0149-0";"Arantxa VillanuevaGintautas DaunysDan Witzner HansenMartin BöhmeRafael CabezaAndré MeyerErhardt Barth";"2009";"http://link.springer.com/article/10.1007/s10209-009-0149-0";"Article"
"A knowledge-based approach to user interface adaptation from preferences and for special needs";"User Modeling and User-Adapted Interaction";"";"27";"3 - 5";"10.1007/s11257-017-9196-z";"Claudia LoitschGerhard WeberNikolaos KaklanisKonstantinos VotisDimitrios Tzovaras";"2017";"http://link.springer.com/article/10.1007/s11257-017-9196-z";"Article"
"A learning-based visual saliency prediction model for stereoscopic 3D video (LBVS-3D)";"Multimedia Tools and Applications";"";"76";"22";"10.1007/s11042-016-4155-y";"Amin Banitalebi-DehkordiMahsa T. PourazadPanos Nasiopoulos";"2017";"http://link.springer.com/article/10.1007/s11042-016-4155-y";"Article"
"A product and process analysis of post-editor corrections on neural, statistical and rule-based machine translation output";"Machine Translation";"";"33";"1 - 2";"10.1007/s10590-019-09228-7";"Maarit KoponenLeena SalmiMarkku Nikulin";"2019";"http://link.springer.com/article/10.1007/s10590-019-09228-7";"Article"
"A real-time framework for eye detection and tracking";"Journal of Real-Time Image Processing";"";"6";"4";"10.1007/s11554-010-0178-1";"Hussein O. HamshariSteven S. Beauchemin";"2011";"http://link.springer.com/article/10.1007/s11554-010-0178-1";"Article"
"A review and reappraisal of information technologies within a conceptual framework for individuals with disabilities";"Universal Access in the Information Society";"";"1";"1";"10.1007/s102090100003";"Julie A. JackoHolly S. Vitense";"2001";"http://link.springer.com/article/10.1007/s102090100003";"Article"
"A review of eye-tracking applications as tools for training";"Cognition, Technology & Work";"";"15";"3";"10.1007/s10111-012-0234-7";"Jonathan L. RoschJennifer J. Vogel-Walcutt";"2013";"http://link.springer.com/article/10.1007/s10111-012-0234-7";"Article"
"A seamless solution for 3D real-time interaction: design and evaluation";"Virtual Reality";"";"19";"1";"10.1007/s10055-014-0255-z";"Franck HernouxOlivier Christmann";"2015";"http://link.springer.com/article/10.1007/s10055-014-0255-z";"Article"
"A solid transportation problem in uncertain environment involving type-2 fuzzy variable";"Neural Computing and Applications";"";"31";"9";"10.1007/s00521-018-03988-8";"Amrit DasUttam Kumar BeraManoranjan Maiti";"2019";"http://link.springer.com/article/10.1007/s00521-018-03988-8";"Article"
"A structural representation for understanding line-drawing images";"International Journal on Document Analysis and Recognition";"";"3";"2";"10.1007/s100320000037";"J.Y. RamelN. VincentH. Emptoz";"2000";"http://link.springer.com/article/10.1007/s100320000037";"Article"
"A study of build inflation in 30 million CPAN builds on 13 Perl versions and 10 operating systems";"Empirical Software Engineering";"";"";"";"10.1007/s10664-019-09709-6";"Mahdis ZolfaghariniaBram AdamsYann-Gaël Guéhéneuc";"2019";"http://link.springer.com/article/10.1007/s10664-019-09709-6";"Article"
"A survey on information visualization: recent advances and challenges";"The Visual Computer";"";"30";"12";"10.1007/s00371-013-0892-3";"Shixia LiuWeiwei CuiYingcai WuMengchen Liu";"2014";"http://link.springer.com/article/10.1007/s00371-013-0892-3";"Article"
"A view from the Luminous Room";"Personal Technologies";"";"1";"2";"10.1007/BF02199211";"John Underkoffler";"1997";"http://link.springer.com/article/10.1007/BF02199211";"Article"
"A3D: A Device for Studying Gaze in 3D";"Computer Vision – ECCV 2016 Workshops";"";"";"";"10.1007/978-3-319-46604-0_41";"Mahmoud QodseyaMarta SanzariValsamis NtouskosFiora Pirri";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-46604-0_41";"Chapter"
"ADAPT: A Predictive Cognitive Model of User Visual Attention and Action Planning";"User Modeling and User-Adapted Interaction";"";"10";"1";"10.1023/A:1008311003128";"Stephanie M. DoaneYoung Woo Sohn";"2000";"http://link.springer.com/article/10.1023/A%3A1008311003128";"Article"
"AGIL: Learning Attention from Human for Visuomotor Tasks";"Computer Vision – ECCV 2018";"";"";"";"10.1007/978-3-030-01252-6_41";"Ruohan ZhangZhuode LiuLuxin ZhangJake A. WhritnerKarl S. MullerMary M. HayhoeDana H. Ballard";"2018";"http://link.springer.com/chapter/10.1007/978-3-030-01252-6_41";"Chapter"
"AGILE Interface for ‘No-Learning Nor Experience Required’ Interaction";"User Modeling and Adaptation for Daily Routines";"";"";"";"10.1007/978-1-4471-4778-7_5";"Santiago MartinezAntonio L. CarrilloKenneth C. Scott-BrownJuan Falgueras";"2013";"http://link.springer.com/chapter/10.1007/978-1-4471-4778-7_5";"Chapter"
"API and DOM";"Pro HTML5 Accessibility";"";"";"";"10.1007/978-1-4302-4195-9_4";"Joshue O. Connor";"2012";"http://link.springer.com/chapter/10.1007/978-1-4302-4195-9_4";"Chapter"
"AVIN (Assisted Visual Interactive Notepad): A Novel Interface Design to Expedite the Eye Writing Experience";"Universal Access in Human-Computer Interaction. Users Diversity";"";"";"";"10.1007/978-3-642-21663-3_69";"Xianjun Sam ZhengStuart GooseJoeri KiekeboschJames Jeng-Weei Lin";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-21663-3_69";"Chapter"
"Abstraction in Different Disciplines";"Abstraction in Artificial Intelligence and Complex Systems";"";"";"";"10.1007/978-1-4614-7052-6_2";"Lorenza SaittaJean-Daniel Zucker";"2013";"http://link.springer.com/chapter/10.1007/978-1-4614-7052-6_2";"Chapter"
"Accelerated Tuning of Platform Boundary Resources";"Nordic Contributions in IS Research";"";"";"";"10.1007/978-3-319-64695-4_8";"Amir MohagheghzadehDaniel Rudmark";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-64695-4_8";"Chapter"
