Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"Using an Eye Tracker to Investigate the Effect of Sticker on LINE APP for Older Adults";"Human-Computer Interaction. Recognition and Interaction Technologies";"";"";"";"10.1007/978-3-030-22643-5_18";"Cheih-Ying Chen";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-22643-5_18";"Chapter"
"Patterns in Serious Game Design and Evaluation Application of Eye-Tracker and Biosensors";"Artificial Intelligence and Soft Computing";"";"";"";"10.1007/978-3-319-59060-8_33";"Jan K. ArgasińskiIwona Grabska-Gradzińska";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-59060-8_33";"Chapter"
"Comparing the Levels of Frustration between an Eye-Tracker and a Mouse: A Pilot Study";"Human Factors in Computing and Informatics";"";"";"";"10.1007/978-3-642-39062-3_7";"Hildegardo NoronhaRicardo SolAthanasios Vourvopoulos";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39062-3_7";"Chapter"
"Patterns in Video Games Analysis – Application of Eye-Tracker and Electrodermal Activity (EDA) Sensor";"Artificial Intelligence and Soft Computing";"";"";"";"10.1007/978-3-319-91262-2_54";"Iwona Grabska-GradzińskaJan K. Argasiński";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91262-2_54";"Chapter"
"Evaluation of Human-System Interfaces with Different Information Organization Using an Eye Tracker";"Cross-Cultural Design. Methods, Practice, and Case Studies";"";"";"";"10.1007/978-3-642-39143-9_32";"Kejin ChenZhizhong Li";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39143-9_32";"Chapter"
"Application of an Eye Tracker Over Facility Layout Problem to Minimize User Fatigue";"Advances in Computational Intelligence";"";"";"";"10.1007/978-3-319-59153-7_13";"Juan García-SaraviaLorenzo Salas-MoreraLaura García-HernándezAdoración Antolí Cabrera";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-59153-7_13";"Chapter"
"Effects of User Age on Smartphone and Tablet Use, Measured with an Eye-Tracker via Fixation Duration, Scan-Path Duration, and Saccades Proportion";"Universal Access in Human-Computer Interaction. Universal Access to Information and Knowledge";"";"";"";"10.1007/978-3-319-07440-5_1";"Suleyman Al-ShowarahNaseer AL-JawadHarin Sellahewa";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07440-5_1";"Chapter"
"Predicting Readers’ Sarcasm Understandability by Modeling Gaze Behavior";"Cognitively Inspired Natural Language Processing";"";"";"";"10.1007/978-981-13-1516-9_5";"Abhijit MishraPushpak Bhattacharyya";"2018";"http://link.springer.com/chapter/10.1007/978-981-13-1516-9_5";"Chapter"
"Introduction";"Cognitively Inspired Natural Language Processing";"";"";"";"10.1007/978-981-13-1516-9_1";"Abhijit MishraPushpak Bhattacharyya";"2018";"http://link.springer.com/chapter/10.1007/978-981-13-1516-9_1";"Chapter"
"Low–Cost Eye–Trackers: Useful for Information Systems Research?";"Advanced Information Systems Engineering Workshops";"";"";"";"10.1007/978-3-319-07869-4_14";"Stefan ZugalJakob Pinggera";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07869-4_14";"Chapter"
"Marketing/Advertising";"Eye Tracking Methodology";"";"";"";"10.1007/978-3-319-57883-5_23";"Andrew T. Duchowski";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-57883-5_23";"Chapter"
"One Half or 50%? An Eye-Tracking Study of Number Representation Readability";"Human-Computer Interaction – INTERACT 2013";"";"";"";"10.1007/978-3-642-40498-6_17";"Luz RelloSusana BautistaRicardo Baeza-YatesPablo GervásRaquel HervásHoracio Saggion";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-40498-6_17";"Chapter"
"Mining reading patterns from eye-tracking data: method and demonstration";"Software and Systems Modeling";"";"";"";"10.1007/s10270-019-00759-4";"Constantina IoannouIndira NurdianiAndrea BurattinBarbara Weber";"2019";"http://link.springer.com/article/10.1007/s10270-019-00759-4";"Article"
"Vertical error correction of eye trackers in nonrestrictive reading condition";"IPSJ Transactions on Computer Vision and Applications";"";"8";"1";"10.1186/s41074-016-0008-x";"Charles Lima SanchesOlivier AugereauKoichi Kise";"2016";"http://link.springer.com/article/10.1186/s41074-016-0008-x";"Article"
"Effect of Devanagari Font Type in Reading Comprehension: An Eye Tracking Study";"Intelligent Human Computer Interaction";"";"";"";"10.1007/978-3-030-04021-5_13";"Chetan RalekarPunyajoy SahaTapan K. GandhiSantanu Chaudhury";"2018";"http://link.springer.com/chapter/10.1007/978-3-030-04021-5_13";"Chapter"
"The Impact of Lexical Simplification by Verbal Paraphrases for People with and without Dyslexia";"Computational Linguistics and Intelligent Text Processing";"";"";"";"10.1007/978-3-642-37256-8_41";"Luz RelloRicardo Baeza-YatesHoracio Saggion";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-37256-8_41";"Chapter"
"Measuring the impact of lexical and structural inconsistencies on developers’ cognitive load during bug localization";"Empirical Software Engineering";"";"";"";"10.1007/s10664-019-09751-4";"Sarah FakhouryDevjeet RoyYuzhan MaVenera ArnaoudovaOlusola Adesope";"2019";"http://link.springer.com/article/10.1007/s10664-019-09751-4";"Article"
"Reading Behavior and Comprehension of C++ Source Code - A Classroom Study";"Augmented Cognition";"";"";"";"10.1007/978-3-030-22419-6_43";"Jonathan A. SaddlerCole S. PetersonPatrick PeachockBonita Sharif";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-22419-6_43";"Chapter"
"The Use of Eye Tracking in Software Development";"Foundations of Augmented Cognition";"";"";"";"10.1007/978-3-319-20816-9_77";"Bonita SharifTimothy Shaffer";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-20816-9_77";"Chapter"
"An empirical study on the efficiency of different design pattern representations in UML class diagrams";"Empirical Software Engineering";"";"15";"5";"10.1007/s10664-009-9125-9";"Gerardo Cepeda PorrasYann-Gaël Guéhéneuc";"2010";"http://link.springer.com/article/10.1007/s10664-009-9125-9";"Article"
"Gaze controlled games";"Universal Access in the Information Society";"";"8";"4";"10.1007/s10209-009-0146-3";"Poika IsokoskiMarkus JoosOleg SpakovBenoît Martin";"2009";"http://link.springer.com/article/10.1007/s10209-009-0146-3";"Article"
"How to present more readable text for people with dyslexia";"Universal Access in the Information Society";"";"16";"1";"10.1007/s10209-015-0438-8";"Luz RelloRicardo Baeza-Yates";"2017";"http://link.springer.com/article/10.1007/s10209-015-0438-8";"Article"
"How programmers read regular code: a controlled experiment using eye tracking";"Empirical Software Engineering";"";"22";"3";"10.1007/s10664-016-9477-x";"Ahmad JbaraDror G. Feitelson";"2017";"http://link.springer.com/article/10.1007/s10664-016-9477-x";"Article"
"Understanding Process Models Using the Eye-Tracking: A Systematic Mapping";"Quality of Information and Communications Technology";"";"";"";"10.1007/978-3-030-29238-6_7";"Vinícius BritoRafael DuarteCharlie Silva LopesDenis Silva da Silveira";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-29238-6_7";"Chapter"
"Mining biometric data to predict programmer expertise and task difficulty";"Cluster Computing";"";"21";"1";"10.1007/s10586-017-0746-2";"Seolhwa LeeDanial HooshyarHyesung JiKichun NamHeuiseok Lim";"2018";"http://link.springer.com/article/10.1007/s10586-017-0746-2";"Article"
"Evaluating the Understandability of Hybrid Process Model Representations Using Eye Tracking: First Insights";"Business Process Management Workshops";"";"";"";"10.1007/978-3-030-11641-5_37";"Amine Abbad AndaloussiTijs SlaatsAndrea BurattinThomas T. HildebrandtBarbara Weber";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-11641-5_37";"Chapter"
"Exploring Eye Tracking to Increase Bandwidth in User Modeling";"User Modeling 2005";"";"";"";"10.1007/11527886_47";"Cristina ConatiChristina MertenKasia MuldnerDavid Ternes";"2005";"http://link.springer.com/chapter/10.1007/11527886_47";"Chapter"
"Understanding Attention to Adaptive Hints in Educational Games: An Eye-Tracking Study";"International Journal of Artificial Intelligence in Education";"";"23";"1 - 4";"10.1007/s40593-013-0002-8";"Cristina ConatiNatasha JaquesMary Muir";"2013";"http://link.springer.com/article/10.1007/s40593-013-0002-8";"Article"
"Gaze-Dependent Depth-of-Field Effect Rendering in Virtual Environments";"Serious Games Development and Applications";"";"";"";"10.1007/978-3-642-23834-5_1";"Radosław MantiukBartosz BazylukAnna Tomaszewska";"2011";"http://link.springer.com/chapter/10.1007/978-3-642-23834-5_1";"Chapter"
"Automated gaze-based mind wandering detection during computerized learning in classrooms";"User Modeling and User-Adapted Interaction";"";"29";"4";"10.1007/s11257-019-09228-5";"Stephen HuttKristina KrasichCaitlin MillsNigel BoschShelby WhiteJames R. BrockmoleSidney K. D’Mello";"2019";"http://link.springer.com/article/10.1007/s11257-019-09228-5";"Article"
"Eye tracking analysis of computer program comprehension in programmers with dyslexia";"Empirical Software Engineering";"";"24";"3";"10.1007/s10664-018-9649-y";"Ian McChesneyRaymond Bond";"2019";"http://link.springer.com/article/10.1007/s10664-018-9649-y";"Article"
"Investigating Eye Movements in Natural Language and C++ Source Code - A Replication Experiment";"Augmented Cognition. Neurocognition and Machine Learning";"";"";"";"10.1007/978-3-319-58628-1_17";"Patrick PeachockNicholas IovinoBonita Sharif";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58628-1_17";"Chapter"
"Investigating the Process of Process Modeling with Eye Movement Analysis";"Business Process Management Workshops";"";"";"";"10.1007/978-3-642-36285-9_46";"Jakob PinggeraMarco FurtnerMarkus MartiniPierre SachseKatharina ReiterStefan ZugalBarbara Weber";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-36285-9_46";"Chapter"
"Supporting Non-native Speakers’ Listening Comprehension with Automated Transcripts";"Services Computing for Language Resources";"";"";"";"10.1007/978-981-10-7793-7_10";"Xun CaoNaomi YamashitaToru Ishida";"2018";"http://link.springer.com/chapter/10.1007/978-981-10-7793-7_10";"Chapter"
"Eye tracking as an MT evaluation technique";"Machine Translation";"";"24";"1";"10.1007/s10590-010-9070-9";"Stephen DohertySharon O’BrienMichael Carl";"2010";"http://link.springer.com/article/10.1007/s10590-010-9070-9";"Article"
"Usability Study of Didactical Resources to Children with Down Syndrome";"HCI for Children with Disabilities";"";"";"";"10.1007/978-3-319-55666-6_7";"Pablo V. Torres-CarriónCarina S. González-GonzálezAlfonso Infante-Moro";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-55666-6_7";"Chapter"
"Smooth Gaze: a framework for recovering tasks across devices using eye tracking";"Personal and Ubiquitous Computing";"";"22";"3";"10.1007/s00779-018-1115-8";"Shiwei ChengJing FanAnind K. Dey";"2018";"http://link.springer.com/article/10.1007/s00779-018-1115-8";"Article"
"Confounding parameters on program comprehension: a literature survey";"Empirical Software Engineering";"";"20";"4";"10.1007/s10664-014-9318-8";"Janet SiegmundJana Schumann";"2015";"http://link.springer.com/article/10.1007/s10664-014-9318-8";"Article"
"The Analysis and Prediction of Eye Gaze When Viewing Statistical Graphs";"Augmented Cognition. Neurocognition and Machine Learning";"";"";"";"10.1007/978-3-319-58628-1_13";"Andre HarrisonMark A. LivingstonDerek BrockJonathan DeckerDennis PerzanowskiChristopher Van DolsonJoseph MathewsAlexander LulushiAdrienne Raglin";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58628-1_13";"Chapter"
"The Effect of Rule Linking on Business Process Model Understanding";"Integrating Business Process Models and Rules";"";"";"";"10.1007/978-3-030-11809-9_5";"Wei Wang";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-11809-9_5";"Chapter"
"Caught in Eye Trackers’ Blind Spots: Adapting Vision Studies to Ethnographic Field Research";"Human Interface and the Management of Information. Visual Information and Knowledge Management";"";"";"";"10.1007/978-3-030-22660-2_6";"Larry S. McGrathLindsay A. CarrabineRanjan Nayyar";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-22660-2_6";"Chapter"
"Vicarious Learning with a Digital Educational Game: Eye-Tracking and Survey-Based Evaluation Approaches";"HCI in Work and Learning, Life and Leisure";"";"";"";"10.1007/978-3-642-16607-5_33";"Effie Lai-Chong LawElke E. MattheissMichael D. Kickmeier-RustDietrich Albert";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-16607-5_33";"Chapter"
"EyeMath: Identifying Mathematics Problem Solving Processes in a RTS Video Game";"Games and Learning Alliance";"";"";"";"10.1007/978-3-319-50182-6_5";"Aura Hernández-SabatéLluís AlbarracínDaniel CalvoNúria Gorgorió";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-50182-6_5";"Chapter"
"An investigation of train driver visual strategies";"Cognition, Technology & Work";"";"8";"1";"10.1007/s10111-005-0015-7";"T. LukeN. Brook-CarterA.M. ParkesE. GrimesA. Mills";"2006";"http://link.springer.com/article/10.1007/s10111-005-0015-7";"Article"
"Measuring the Perception of Facial Expressions in American Sign Language Animations with Eye Tracking";"Universal Access in Human-Computer Interaction. Design for All and Accessibility Practice";"";"";"";"10.1007/978-3-319-07509-9_52";"Hernisa KacorriAllen HarperMatt Huenerfauth";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07509-9_52";"Chapter"
"Optimizing web-accessibility for deaf people and the hearing impaired utilizing a sign language dictionary embedded in a browser";"Cognition, Technology & Work";"";"18";"4";"10.1007/s10111-016-0385-z";"Søren Staal JensenTina Øvad";"2016";"http://link.springer.com/article/10.1007/s10111-016-0385-z";"Article"
"Visual Attention and Gaze Behavior in Games: An Object-Based Approach";"Game Analytics";"";"";"";"10.1007/978-1-4471-4769-5_25";"Veronica SundstedtMatthias BernhardEfstathios StavrakisErik ReinhardMichael Wimmer";"2013";"http://link.springer.com/chapter/10.1007/978-1-4471-4769-5_25";"Chapter"
"How Novices Read Source Code in Introductory Courses on Programming: An Eye-Tracking Experiment";"Foundations of Augmented Cognition: Neuroergonomics and Operational Neuroscience";"";"";"";"10.1007/978-3-319-39952-2_13";"Leelakrishna YenigallaVinayak SinhaBonita SharifMartha Crosby";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-39952-2_13";"Chapter"
"Effect of spatial reference and verb inflection on the usability of sign language animations";"Universal Access in the Information Society";"";"11";"2";"10.1007/s10209-011-0247-7";"Matt HuenerfauthPengfei Lu";"2012";"http://link.springer.com/article/10.1007/s10209-011-0247-7";"Article"
"Using Mobile Eye Tracking to Evaluate the Satisfaction with Service Office";"Design, User Experience, and Usability. Practice and Case Studies";"";"";"";"10.1007/978-3-030-23535-2_14";"Zai Xing LiuYi LiuXun Gao";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-23535-2_14";"Chapter"
"Development of a Quantitative Evaluation Tool of Cognitive Workload in Field Studies Through Eye Tracking";"Engineering Psychology and Cognitive Ergonomics";"";"";"";"10.1007/978-3-030-22507-0_9";"Giovanni PignoniSashidharan Komandur";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-22507-0_9";"Chapter"
"Eye Tracking Meets the Process of Process Modeling: A Visual Analytic Approach";"Business Process Management Workshops";"";"";"";"10.1007/978-3-319-58457-7_34";"Andrea BurattinMichael KaiserManuel NeurauterBarbara Weber";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58457-7_34";"Chapter"
"Using Insights from Cognitive Neuroscience to Investigate the Effects of Event-Driven Process Chains on Process Model Comprehension";"Business Process Management Workshops";"";"";"";"10.1007/978-3-319-74030-0_35";"Michael ZimochTim MohringRüdiger PryssThomas ProbstWinfried SchleeManfred Reichert";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-74030-0_35";"Chapter"
"Feasibility Analysis of Eye Typing with a Standard Webcam";"Computer Vision – ECCV 2016 Workshops";"";"";"";"10.1007/978-3-319-48881-3_18";"Yi LiuBu Sung LeeAndrzej SluzekDeepu RajanMartin Mckeown";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-48881-3_18";"Chapter"
"Eyes Don’t Lie: Understanding Users’ First Impressions on Websites Using Eye Tracking";"Human Interface and the Management of Information. Information and Interaction Design";"";"";"";"10.1007/978-3-642-39209-2_71";"Hong ShengNick S. LockwoodSirjana Dahal";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39209-2_71";"Chapter"
"Eye Tracking: A Brief Introduction";"Ways of Knowing in HCI";"";"";"";"10.1007/978-1-4939-0378-8_13";"Vidhya NavalpakkamElizabeth F. Churchill";"2014";"http://link.springer.com/chapter/10.1007/978-1-4939-0378-8_13";"Chapter"
"Harnessing Cognitive Features for Sentiment Analysis and Sarcasm Detection";"Cognitively Inspired Natural Language Processing";"";"";"";"10.1007/978-981-13-1516-9_6";"Abhijit MishraPushpak Bhattacharyya";"2018";"http://link.springer.com/chapter/10.1007/978-981-13-1516-9_6";"Chapter"
"Computer Science";"Eye Tracking Methodology: Theory and Practice";"";"";"";"10.1007/978-1-4471-3750-4_14";"Andrew T. Duchowski";"2003";"http://link.springer.com/chapter/10.1007/978-1-4471-3750-4_14";"Chapter"
"Reading-Life Log as a New Paradigm of Utilizing Character and Document Media";"Human-Harmonized Information Technology, Volume 2";"";"";"";"10.1007/978-4-431-56535-2_7";"Koichi KiseShinichiro OmachiSeiichi UchidaMasakazu IwamuraMasahiko InamiKai Kunze";"2017";"http://link.springer.com/chapter/10.1007/978-4-431-56535-2_7";"Chapter"
"LAB-IN-A-BOX: semi-automatic tracking of activity in the medical office";"Personal and Ubiquitous Computing";"";"19";"2";"10.1007/s00779-014-0821-0";"Nadir WeibelSteven RickColleen EmmeneggerShazia AshfaqAlan CalvittiZia Agha";"2015";"http://link.springer.com/article/10.1007/s00779-014-0821-0";"Article"
"Extending Eye Tracking to Analyse Interactions with Multimedia Information Presentations";"People and Computers XIV — Usability or Else!";"";"";"";"10.1007/978-1-4471-0515-2_18";"N. Hari NarayananDan J. Schrimpsher";"2000";"http://link.springer.com/chapter/10.1007/978-1-4471-0515-2_18";"Chapter"
"Interacting with the Computer Using Gaze Gestures";"Human-Computer Interaction – INTERACT 2007";"";"";"";"10.1007/978-3-540-74800-7_43";"Heiko DrewesAlbrecht Schmidt";"2007";"http://link.springer.com/chapter/10.1007/978-3-540-74800-7_43";"Chapter"
"Personalized presentation annotations using optical HMDs";"Multimedia Tools and Applications";"";"76";"4";"10.1007/s11042-016-4064-0";"Wyko RijnsburgerSven Kratz";"2017";"http://link.springer.com/article/10.1007/s11042-016-4064-0";"Article"
"A geometric approach to remote eye tracking";"Universal Access in the Information Society";"";"8";"4";"10.1007/s10209-009-0149-0";"Arantxa VillanuevaGintautas DaunysDan Witzner HansenMartin BöhmeRafael CabezaAndré MeyerErhardt Barth";"2009";"http://link.springer.com/article/10.1007/s10209-009-0149-0";"Article"
"TeleEye: An Awareness Widget for Providing the Focus of Attention in Collaborative Editing Systems";"Collaborative Computing: Networking, Applications and Worksharing";"";"";"";"10.1007/978-3-642-03354-4_20";"Mauro C. PichilianiCelso M. HirataFabricio S. SoaresCarlos H. Q. Forster";"2009";"http://link.springer.com/chapter/10.1007/978-3-642-03354-4_20";"Chapter"
"Effect of Linked Rules on Business Process Model Understanding";"Business Process Management";"";"";"";"10.1007/978-3-319-65000-5_12";"Wei WangMarta IndulskaShazia SadiqBarbara Weber";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-65000-5_12";"Chapter"
"CamType: assistive text entry using gaze with an off-the-shelf webcam";"Machine Vision and Applications";"";"30";"3";"10.1007/s00138-018-00997-4";"Yi LiuBu-Sung LeeDeepu RajanAndrzej SluzekMartin J. McKeown";"2019";"http://link.springer.com/article/10.1007/s00138-018-00997-4";"Article"
"Real-Time Business Process Model Tailoring: The Effect of Domain Knowledge on Reading Strategy";"On the Move to Meaningful Internet Systems. OTM 2017 Workshops";"";"";"";"10.1007/978-3-319-73805-5_30";"Sven Vermeulen";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-73805-5_30";"Chapter"
"Giving Eyesight to the Blind: Towards Attention-Aware AIED";"International Journal of Artificial Intelligence in Education";"";"26";"2";"10.1007/s40593-016-0104-1";"Sidney K. D’Mello";"2016";"http://link.springer.com/article/10.1007/s40593-016-0104-1";"Article"
"Neuroscience and Psychology";"Eye Tracking Methodology";"";"";"";"10.1007/978-3-319-57883-5_21";"Andrew T. Duchowski";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-57883-5_21";"Chapter"
"Utilizing the Capabilities Offered by Eye-Tracking to Foster Novices’ Comprehension of Business Process Models";"Cognitive Computing – ICCC 2018";"";"";"";"10.1007/978-3-319-94307-7_12";"Michael ZimochRüdiger PryssGeorg LayherHeiko NeumannThomas ProbstWinfried SchleeManfred Reichert";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-94307-7_12";"Chapter"
"Attentional Behavior of Users on the Move Towards Pervasive Advertising Media";"Pervasive Advertising";"";"";"";"10.1007/978-0-85729-352-7_14";"Johann SchrammelElke MattheissSusen DöbeltLucas PalettaAlexander AlmerManfred Tscheligi";"2011";"http://link.springer.com/chapter/10.1007/978-0-85729-352-7_14";"Chapter"
"Cohesive Relations in Text Comprehension and Production: An Exploratory Study Comparing Translation and Post-Editing";"New Directions in Empirical Translation Process Research";"";"";"";"10.1007/978-3-319-20358-4_11";"Márcia SchmaltzIgor A. L. da SilvaAdriana PaganoFabio AlvesAna Luísa V. LealDerek F. WongLidia S. ChaoPaulo Quaresma";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-20358-4_11";"Chapter"
"BCI and Eye Gaze: Collaboration at the Interface";"Foundations of Augmented Cognition";"";"";"";"10.1007/978-3-319-20816-9_20";"Leo GalwayChris BrennanPaul McCullaghGaye Lightbody";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-20816-9_20";"Chapter"
"Real-Time Algorithms Optimization Based on a Gaze-Point Position";"Advances in Visual Computing";"";"";"";"10.1007/978-3-642-33191-6_74";"Anna Tomaszewska";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-33191-6_74";"Chapter"
"Using Scenarios to Validate Requirements Through the Use of Eye-Tracking in Prototyping";"Augmented Cognition: Users and Contexts";"";"";"";"10.1007/978-3-319-91467-1_8";"Tia Larsen-CalcanoOmar OchoaRichard Simonson";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-91467-1_8";"Chapter"
"User-adaptive explanatory program visualization: evaluation and insights from eye movements";"User Modeling and User-Adapted Interaction";"";"20";"3";"10.1007/s11257-010-9077-1";"Tomasz D. LobodaPeter Brusilovsky";"2010";"http://link.springer.com/article/10.1007/s11257-010-9077-1";"Article"
"3D Eye Tracking for Visual Imagery Measurements";"HCI International 2019 - Posters";"";"";"";"10.1007/978-3-030-23528-4_32";"Kenta KatoOky Dicky Ardiansyah PrimaHisayoshi Ito";"2019";"http://link.springer.com/chapter/10.1007/978-3-030-23528-4_32";"Chapter"
"Visual Interaction Patterns of Students’ Feedback: Reliability and Usability of Teaching and Supervision Evaluation System (TESES)";"Advances in Visual Informatics";"";"";"";"10.1007/978-3-319-02958-0_70";"Uswatun BakarAzizah Jaafar";"2013";"http://link.springer.com/chapter/10.1007/978-3-319-02958-0_70";"Chapter"
"Eye-tracking based adaptive user interface: implicit human-computer interaction for preference indication";"Journal on Multimodal User Interfaces";"";"5";"1 - 2";"10.1007/s12193-011-0064-6";"Shiwei ChengYing Liu";"2012";"http://link.springer.com/article/10.1007/s12193-011-0064-6";"Article"
"How Users Read and Comprehend Privacy Policies";"Human Interface and the Management of Information. Interacting in Information Environments";"";"";"";"10.1007/978-3-540-73354-6_88";"Kim-Phuong L. VuVanessa ChambersFredrick P. GarciaBeth CreekmurJohn SulaitisDeborah NelsonRussell PierceRobert W. Proctor";"2007";"http://link.springer.com/chapter/10.1007/978-3-540-73354-6_88";"Chapter"
"Automatic gaze-based user-independent detection of mind wandering during computerized reading";"User Modeling and User-Adapted Interaction";"";"26";"1";"10.1007/s11257-015-9167-1";"Robert BixlerSidney D’Mello";"2016";"http://link.springer.com/article/10.1007/s11257-015-9167-1";"Article"
"The Experimental Research of Task Load Quantitative Analysis Based on the Pupil Diameter";"Engineering Psychology and Cognitive Ergonomics. Understanding Human Cognition";"";"";"";"10.1007/978-3-642-39360-0_14";"Xueli HeLijing WangYingchun Chen";"2013";"http://link.springer.com/chapter/10.1007/978-3-642-39360-0_14";"Chapter"
"Tracking the Saliency Features in Images Based on Human Observation Statistics";"Computational Intelligence for Multimedia Understanding";"";"";"";"10.1007/978-3-642-32436-9_19";"Szilard SzalaiTamás SzirányiZoltan Vidnyanszky";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-32436-9_19";"Chapter"
"Neuroscience and Psychology";"Eye Tracking Methodology";"";"";"";"10.1007/978-1-84628-609-4_17";"Andrew Duchowski BSc,PhD";"2007";"http://link.springer.com/chapter/10.1007/978-1-84628-609-4_17";"Chapter"
"Neuroscience and Psychology";"Eye Tracking Methodology: Theory and Practice";"";"";"";"10.1007/978-1-4471-3750-4_11";"Andrew T. Duchowski";"2003";"http://link.springer.com/chapter/10.1007/978-1-4471-3750-4_11";"Chapter"
