Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Using Insights from Cognitive Neuroscience to Investigate the Effects of Event-Driven Process Chains on Process Model Comprehension","Business Process Management Workshops","","","","10.1007/978-3-319-74030-0_35","Michael ZimochTim MohringRüdiger PryssThomas ProbstWinfried SchleeManfred Reichert","2018","http://link.springer.com/chapter/10.1007/978-3-319-74030-0_35","Chapter"
"From analytical purposes to data visualizations: a decision process guided by a conceptual framework and eye tracking","Software & Systems Modeling","","","","10.1007/s10270-019-00742-z","Jens GuldenAndrea BurattinAmine A. AndaloussiBarbara Weber","2019","http://link.springer.com/article/10.1007/s10270-019-00742-z","Article"
"Mining reading patterns from eye-tracking data: method and demonstration","Software and Systems Modeling","","","","10.1007/s10270-019-00759-4","Constantina IoannouIndira NurdianiAndrea BurattinBarbara Weber","2019","http://link.springer.com/article/10.1007/s10270-019-00759-4","Article"
"Investigating the Process of Process Modeling with Eye Movement Analysis","Business Process Management Workshops","","","","10.1007/978-3-642-36285-9_46","Jakob PinggeraMarco FurtnerMarkus MartiniPierre SachseKatharina ReiterStefan ZugalBarbara Weber","2013","http://link.springer.com/chapter/10.1007/978-3-642-36285-9_46","Chapter"
"Real-Time Business Process Model Tailoring: The Effect of Domain Knowledge on Reading Strategy","On the Move to Meaningful Internet Systems. OTM 2017 Workshops","","","","10.1007/978-3-319-73805-5_30","Sven Vermeulen","2018","http://link.springer.com/chapter/10.1007/978-3-319-73805-5_30","Chapter"
"Business Process Models (BPMN and DEMO Notation) - Usability Study","Enterprise and Organizational Modeling and Simulation","","","","10.1007/978-3-030-35646-0_13","Petra PavlickovaJosef Pavlicek","2019","http://link.springer.com/chapter/10.1007/978-3-030-35646-0_13","Chapter"
"Using Mobile Eye Tracking to Evaluate the Satisfaction with Service Office","Design, User Experience, and Usability. Practice and Case Studies","","","","10.1007/978-3-030-23535-2_14","Zai Xing LiuYi LiuXun Gao","2019","http://link.springer.com/chapter/10.1007/978-3-030-23535-2_14","Chapter"
"Eye tracking analysis of computer program comprehension in programmers with dyslexia","Empirical Software Engineering","","24","3","10.1007/s10664-018-9649-y","Ian McChesneyRaymond Bond","2019","http://link.springer.com/article/10.1007/s10664-018-9649-y","Article"
"Extending Eye Tracking to Analyse Interactions with Multimedia Information Presentations","People and Computers XIV — Usability or Else!","","","","10.1007/978-1-4471-0515-2_18","N. Hari NarayananDan J. Schrimpsher","2000","http://link.springer.com/chapter/10.1007/978-1-4471-0515-2_18","Chapter"
"Effect of Linked Rules on Business Process Model Understanding","Business Process Management","","","","10.1007/978-3-319-65000-5_12","Wei WangMarta IndulskaShazia SadiqBarbara Weber","2017","http://link.springer.com/chapter/10.1007/978-3-319-65000-5_12","Chapter"
"The Business Process Model Quality Metrics","Enterprise and Organizational Modeling and Simulation","","","","10.1007/978-3-319-68185-6_10","Josef PavlicekRadek HronzaPetra PavlickovaKlara Jelinkova","2017","http://link.springer.com/chapter/10.1007/978-3-319-68185-6_10","Chapter"
"An SSVEP and Eye Tracking Hybrid BNCI: Potential Beyond Communication and Control","Foundations of Augmented Cognition: Neuroergonomics and Operational Neuroscience","","","","10.1007/978-3-319-39955-3_7","Paul McCullaghChris BrennanGaye LightbodyLeo GalwayEileen ThompsonSuzanne Martin","2016","http://link.springer.com/chapter/10.1007/978-3-319-39955-3_7","Chapter"
"An Empirical Study of Test-Driven Development vs. Test-Last Development Using Eye Tracking","Agile Methods","","","","10.1007/978-3-030-36701-5_2","Joelma ChomaEduardo M. GuerraTiago Silva da SilvaThomas AlbuquerqueVanessa G. AlbuquerqueLuciana M. Zaina","2019","http://link.springer.com/chapter/10.1007/978-3-030-36701-5_2","Chapter"
"Eye-tracking and economic theories of choice under risk","Journal of the Economic Science Association","","5","1","10.1007/s40881-019-00063-3","Glenn W. HarrisonJ. Todd Swarthout","2019","http://link.springer.com/article/10.1007/s40881-019-00063-3","Article"
"Understanding Declare models: strategies, pitfalls, empirical results","Software & Systems Modeling","","15","2","10.1007/s10270-014-0435-z","Cornelia HaisjacklIrene BarbaStefan ZugalPnina SofferIrit HadarManfred ReichertJakob PinggeraBarbara Weber","2016","http://link.springer.com/article/10.1007/s10270-014-0435-z","Article"
"In the Eye of the Beholder: Eye-tracking Assessment of Social Information Processing in Aggressive Behavior","Journal of Abnormal Child Psychology","","38","5","10.1007/s10802-009-9361-x","Tako A. HorsleyBram Orobio de CastroMenno Van der Schoot","2010","http://link.springer.com/article/10.1007/s10802-009-9361-x","Article"
"Eye Tracking Based Objective Evaluation of Visual Aesthetics: A Review","Advances in Ergonomics in Design","","","","10.1007/978-3-319-94706-8_41","Bighna Kalyan NayakSougata Karmakar","2019","http://link.springer.com/chapter/10.1007/978-3-319-94706-8_41","Chapter"
"An Investigation of Placement of Textual and Graphical Information Using Human Performance and Eye Tracking Data","Human Interface and the Management of Information. Visual Information and Knowledge Management","","","","10.1007/978-3-030-22660-2_9","Chao ShiAyala CohenLing RothrockTatiana Umansky","2019","http://link.springer.com/chapter/10.1007/978-3-030-22660-2_9","Chapter"
"Exploring the Understandability of a Hybrid Process Design Artifact Based on DCR Graphs","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-030-20618-5_5","Amine Abbad AndaloussiAndrea BurattinTijs SlaatsAnette Chelina Møller PetersenThomas T. HildebrandtBarbara Weber","2019","http://link.springer.com/chapter/10.1007/978-3-030-20618-5_5","Chapter"
"Tracing the Process of Process Modeling with Modeling Phase Diagrams","Business Process Management Workshops","","","","10.1007/978-3-642-28108-2_36","Jakob PinggeraStefan ZugalMatthias WeidlichDirk FahlandBarbara WeberJan MendlingHajo A. Reijers","2012","http://link.springer.com/chapter/10.1007/978-3-642-28108-2_36","Chapter"
"Towards an Integrated Framework for Invigorating Process Models: A Research Agenda","Business Process Management Workshops","","","","10.1007/978-3-319-42887-1_44","Banu AysolmazHajo A. Reijers","2016","http://link.springer.com/chapter/10.1007/978-3-319-42887-1_44","Chapter"
"Gaining Attention Online: Do the Levels of Product Involvement and Website Interactivity Matter? An Eye-Tracking Approach","Advances in Advertising Research (Vol. VII)","","","","10.1007/978-3-658-15220-8_6","Polyxeni Jenny PallaYorgos Zotos","2017","http://link.springer.com/chapter/10.1007/978-3-658-15220-8_6","Chapter"
"Information processing under high and low distractions using eye tracking","Cognitive Processing","","20","1","10.1007/s10339-018-0876-3","Di WuHe HuangNa LiuDanmin Miao","2019","http://link.springer.com/article/10.1007/s10339-018-0876-3","Article"
"Special section of BPMDS’2017: enabling business transformation by business process modeling, development and support","Software and Systems Modeling","","","","10.1007/s10270-019-00771-8","Selmin NurcanRainer Schmidt","2019","http://link.springer.com/article/10.1007/s10270-019-00771-8","Article"
"An Eye-Tracking Examination of Emotion Regulation, Attentional Bias, and Pupillary Response to Threat Stimuli","Cognitive Therapy and Research","","41","6","10.1007/s10608-017-9860-y","Joseph R. BardeenThomas A. Daniel","2017","http://link.springer.com/article/10.1007/s10608-017-9860-y","Article"
"Eye Movements During Search and Choice","Handbook of Marketing Decision Models","","","","10.1007/978-3-319-56941-3_11","Ralf van der LansMichel Wedel","2017","http://link.springer.com/chapter/10.1007/978-3-319-56941-3_11","Chapter"
"Educational Business Process Model Skills Improvement","Enterprise and Organizational Modeling and Simulation","","","","10.1007/978-3-319-49454-8_12","Josef PavlicekRadek HronzaPetra Pavlickova","2016","http://link.springer.com/chapter/10.1007/978-3-319-49454-8_12","Chapter"
"12th Biannual conference of the German cognitive science society (Gesellschaft für Kognitionswissenschaft)","Cognitive Processing","","15","1","10.1007/s10339-014-0632-2","Martin V. Butz","2014","http://link.springer.com/article/10.1007/s10339-014-0632-2","Article"
"An Eye Tracking Experiment on Strategies to Minimize the Redundancy and Split Attention Effects in Scientific Graphs and Diagrams","Advances in Design for Inclusion","","","","10.1007/978-3-319-41962-6_47","Azam MajooniMona MasoodAmir Akhavan","2016","http://link.springer.com/chapter/10.1007/978-3-319-41962-6_47","Chapter"
"A Review of Eye Tracking Studies Related to Visual Aesthetic Experience: A Bottom-Up Approach","Research into Design for a Connected World","","","","10.1007/978-981-13-5977-4_33","Bighna Kalyan NayakSougata Karmakar","2019","http://link.springer.com/chapter/10.1007/978-981-13-5977-4_33","Chapter"
"The Study of Presentation Characteristics of the Warning Information and Its Influence on User’s Cognitive Process Based on Eye Tracking","Engineering Psychology and Cognitive Ergonomics: Cognition and Design","","","","10.1007/978-3-319-58475-1_7","Yun LinChengqi XueQi GuoJing ZhangNingyue PengYafeng Niu","2017","http://link.springer.com/chapter/10.1007/978-3-319-58475-1_7","Chapter"
"Accessing Tele-Services Using a Hybrid BCI Approach","Advances in Computational Intelligence","","","","10.1007/978-3-319-19258-1_10","Chris BrennanPaul McCullaghGaye LightbodyLeo GalwayDiana FeuserJosé Luis GonzálezSuzanne Martin","2015","http://link.springer.com/chapter/10.1007/978-3-319-19258-1_10","Chapter"
"Exploring the numerical mind by eye-tracking: a special issue","Psychological Research","","80","3","10.1007/s00426-016-0759-0","Matthias HartmannMartin H. Fischer","2016","http://link.springer.com/article/10.1007/s00426-016-0759-0","Article"
"Where the User Does Look When Reading Phishing Mails – An Eye-Tracking Study","Learning and Collaboration Technologies. Designing Learning Experiences","","","","10.1007/978-3-030-21814-0_21","Kevin PfeffelPhilipp UlsamerNicholas H. Müller","2019","http://link.springer.com/chapter/10.1007/978-3-030-21814-0_21","Chapter"
"Development of Integrated Analysis System and Tool of Perception, Recognition, and Behavior for Web Usability Test: With Emphasis on Eye-Tracking, Mouse-Tracking, and Retrospective Think Aloud","Usability and Internationalization. HCI and Culture","","","","10.1007/978-3-540-73287-7_15","Byungjoo KimYing DongSungjin KimKun-Pyo Lee","2007","http://link.springer.com/chapter/10.1007/978-3-540-73287-7_15","Chapter"
"Introduction","Integrating Business Process Models and Rules","","","","10.1007/978-3-030-11809-9_1","Wei Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-11809-9_1","Chapter"
"How Does It Look? Exploring Meaningful Layout Features of Process Models","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-319-19243-7_7","Vered BernsteinPnina Soffer","2015","http://link.springer.com/chapter/10.1007/978-3-319-19243-7_7","Chapter"
"Language non-selective activation of orthography during spoken word processing in Hindi–English sequential bilinguals: an eye tracking visual world study","Reading and Writing","","27","1","10.1007/s11145-013-9436-5","Ramesh Kumar MishraNiharika Singh","2014","http://link.springer.com/article/10.1007/s11145-013-9436-5","Article"
"Measuring Cognitive Load During Process Model Creation","Information Systems and Neuroscience","","","","10.1007/978-3-319-18702-0_17","Barbara WeberManuel NeurauterJakob PinggeraStefan ZugalMarco FurtnerMarkus MartiniPierre Sachse","2015","http://link.springer.com/chapter/10.1007/978-3-319-18702-0_17","Chapter"
"Processing Control Information in a Nominal Control Construction: An Eye-Tracking Study","Journal of Psycholinguistic Research","","45","4","10.1007/s10936-015-9374-2","Nayoung KwonPatrick Sturt","2016","http://link.springer.com/article/10.1007/s10936-015-9374-2","Article"
"Modeling compliance specifications in linear temporal logic, event processing language and property specification patterns: a controlled experiment on understandability","Software and Systems Modeling","","18","6","10.1007/s10270-019-00721-4","Christoph CzepaAmirali AmiriEvangelos NtentosUwe Zdun","2019","http://link.springer.com/article/10.1007/s10270-019-00721-4","Article"
"Eye Movements During Mathematical Word Problem Solving—Global Measures and Individual Differences","Journal für Mathematik-Didaktik","","40","2","10.1007/s13138-019-00144-0","Anselm R. StrohmaierMatthias C. LehnerJana T. BeitlichKristina M. Reiss","2019","http://link.springer.com/article/10.1007/s13138-019-00144-0","Article"
"A Recurrent Quantum Neural Network Model to Describe Eye Tracking of Moving Targets","Foundations of Physics Letters","","18","4","10.1007/s10702-005-7125-6","Laxmidhar BeheraIndrani KarAvshalom C. Elitzur","2005","http://link.springer.com/article/10.1007/s10702-005-7125-6","Article"
"Why verifying diagnostic decisions with a checklist can help: insights from eye tracking","Advances in Health Sciences Education","","20","4","10.1007/s10459-015-9585-1","Matthew SibbaldAnique B. H. de BruinEric YuJeroen J. G. van Merrienboer","2015","http://link.springer.com/article/10.1007/s10459-015-9585-1","Article"
"Eye Pattern Analysis in Intelligent Virtual Agents","Intelligent Virtual Agents","","","","10.1007/3-540-44812-8_3","Michael LiTed Selker","2001","http://link.springer.com/chapter/10.1007/3-540-44812-8_3","Chapter"
"Unsupervised parsing of gaze data with a beta-process vector auto-regressive hidden Markov model","Behavior Research Methods","","50","5","10.3758/s13428-017-0974-7","Joseph W. HouptMary E. FrameLeslie M. Blaha","2018","http://link.springer.com/article/10.3758/s13428-017-0974-7","Article"
"An Online Platform for Diagnosis of Children with Reading Disability","Computational Vision and Bio-Inspired Computing","","","","10.1007/978-3-030-37218-7_73","P. SowmyasriR. RavalikaC. JyotsnaJ. Amudha","2020","http://link.springer.com/chapter/10.1007/978-3-030-37218-7_73","Chapter"
"Evaluation Methods in Process-Aware Information Systems Research with a Perspective on Human Orientation","Business & Information Systems Engineering","","58","6","10.1007/s12599-016-0427-3","Dr. Simone KriglsteinDr. Maria LeitnerDr. Sonja Kabicher-FuchsUniv.-Prof. Dr. Stefanie Rinderle-Ma","2016","http://link.springer.com/article/10.1007/s12599-016-0427-3","Article"
"Responses during Facial Emotional Expression Recognition Tasks Using Virtual Reality and Static IAPS Pictures for Adults with Schizophrenia","Virtual, Augmented and Mixed Reality. Applications of Virtual and Augmented Reality","","","","10.1007/978-3-319-07464-1_21","Esubalew BekeleDayi BianZhi ZhengJoel PetermanSohee ParkNilanjan Sarkar","2014","http://link.springer.com/chapter/10.1007/978-3-319-07464-1_21","Chapter"
"A Framework for Usability Evaluation of Modeling Languages (FUEML)","Usability Evaluation of Modeling Languages","","","","10.1007/978-3-658-00051-6_4","Christian Schalles","2013","http://link.springer.com/chapter/10.1007/978-3-658-00051-6_4","Chapter"
"Interdisciplinary Research Methods Used to Investigate Emotions with Advanced Learning Technologies","Methodological Advances in Research on Emotion and Education","","","","10.1007/978-3-319-29049-2_18","Roger AzevedoMichelle TaubNicholas MudrickJesse FarnsworthSeth A. Martin","2016","http://link.springer.com/chapter/10.1007/978-3-319-29049-2_18","Chapter"
"Virtual Reality-Based Facial Expressions Understanding for Teenagers with Autism","Universal Access in Human-Computer Interaction. User and Context Diversity","","","","10.1007/978-3-642-39191-0_50","Esubalew BekeleZhi ZhengAmy SwansonJulie DavidsonZachary WarrenNilanjan Sarkar","2013","http://link.springer.com/chapter/10.1007/978-3-642-39191-0_50","Chapter"
"An Empirical Review of the Connection Between Model Viewer Characteristics and the Comprehension of Conceptual Process Models","Information Systems Frontiers","","21","5","10.1007/s10796-017-9823-6","Jan MendlingJan ReckerHajo A. ReijersHenrik Leopold","2019","http://link.springer.com/article/10.1007/s10796-017-9823-6","Article"
"Conclusion","Integrating Business Process Models and Rules","","","","10.1007/978-3-030-11809-9_8","Wei Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-11809-9_8","Chapter"
"Insights into numerical cognition: considering eye-fixations in number processing and arithmetic","Psychological Research","","80","3","10.1007/s00426-015-0739-9","J. MockS. HuberE. KleinK. Moeller","2016","http://link.springer.com/article/10.1007/s00426-015-0739-9","Article"
"Biometrics and Business Information Visualization: Research Review, Agenda and Opportunities","HCI in Business, Government, and Organizations","","","","10.1007/978-3-319-91716-0_53","Dinko Bačić","2018","http://link.springer.com/chapter/10.1007/978-3-319-91716-0_53","Chapter"
"Interactive Visualization for Understanding of Attention Patterns","Eye Tracking and Visualization","","","","10.1007/978-3-319-47024-5_2","Truong-Huy D. NguyenMagy Seif El-NasrDerek M. Isaacowitz","2017","http://link.springer.com/chapter/10.1007/978-3-319-47024-5_2","Chapter"
"CARS 2017—Computer Assisted Radiology and Surgery Proceedings of the 31st International Congress and Exhibition Barcelona, Spain, June 20–24, 2017","International Journal of Computer Assisted Radiology and Surgery","","12","1","10.1007/s11548-017-1588-3","","2017","http://link.springer.com/article/10.1007/s11548-017-1588-3","Article"
"A Study of Metacognitive Problem Solving in Undergraduate Engineering Students","Advances in Human Factors in Training, Education, and Learning Sciences","","","","10.1007/978-3-030-20135-7_9","Lisa Jo ElliottHeather C. LumFaisal AqlanRichard ZhaoCatherine D. Lasher","2020","http://link.springer.com/chapter/10.1007/978-3-030-20135-7_9","Chapter"
"Improving the representation of roles in conceptual modeling: theory, method, and evidence","Requirements Engineering","","23","4","10.1007/s00766-017-0275-9","Palash BeraAndrew Burton-JonesYair Wand","2018","http://link.springer.com/article/10.1007/s00766-017-0275-9","Article"
"Perceptual Processing and the Comprehension of Relational Information in Dynamic Diagrams","Diagrammatic Representation and Inference","","","","10.1007/978-3-319-91376-6_42","Richard LoweJean-Michel BoucheixMarilyne Menant","2018","http://link.springer.com/chapter/10.1007/978-3-319-91376-6_42","Chapter"
"Eye Gaze Patterns Associated with Aggressive Tendencies in Adolescence","Psychiatric Quarterly","","89","3","10.1007/s11126-018-9573-8","Cameron LaueMarcus GriffeyPing-I LinKirk WallaceMenno van der SchootPaul HornErnest PedapatiDrew Barzman","2018","http://link.springer.com/article/10.1007/s11126-018-9573-8","Article"
"Who resists belief-biased inferences? The role of individual differences in reasoning strategies, working memory, and attentional focus","Memory & Cognition","","","","10.3758/s13421-019-00998-2","Pier-Luc de ChantalIan R. NewmanValerie ThompsonHenry Markovits","2019","http://link.springer.com/article/10.3758/s13421-019-00998-2","Article"
"Evaluating visual attention for multi-screen television: measures, toolkit, and experimental findings","Personal and Ubiquitous Computing","","19","5 - 6","10.1007/s00779-015-0862-z","Radu-Daniel VatavuMatei Mancas","2015","http://link.springer.com/article/10.1007/s00779-015-0862-z","Article"
"The interplay of local attraction, context and domain-general cognitive control in activation and suppression of semantic distractors during sentence comprehension","Psychonomic Bulletin & Review","","23","6","10.3758/s13423-016-1068-8","Nazbanou NozariJohn C. TrueswellSharon L. Thompson-Schill","2016","http://link.springer.com/article/10.3758/s13423-016-1068-8","Article"
"Posters","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0095-9","","2009","http://link.springer.com/article/10.1007/s12603-009-0095-9","Article"
"Comparitive study on photometric normalization algorithms for an innovative, robust and real-time eye gaze tracker","Journal of Real-Time Image Processing","","8","1","10.1007/s11554-011-0217-6","Antonino ArmatoAntonio LanatàEnzo Pasquale Scilingo","2013","http://link.springer.com/article/10.1007/s11554-011-0217-6","Article"
"Measuring Difficulty in Translation and Post-editing: A Review","Researching Cognitive Processes of Translation","","","","10.1007/978-981-13-1984-6_7","Sanjun Sun","2019","http://link.springer.com/chapter/10.1007/978-981-13-1984-6_7","Chapter"
"Expertise as a Mediating Factor in Conceptual Modeling","Information Systems and Neuroscience","","","","10.1007/978-3-319-67431-5_10","Christopher J. DavisAlan R. HevnerÉlise Labonte-LeMoynePierre-Majorique Léger","2018","http://link.springer.com/chapter/10.1007/978-3-319-67431-5_10","Chapter"
"CARS 2015—Computer Assisted Radiology and Surgery Proceedings of the 29th International Congress and Exhibition Barcelona, Spain, June 24–27, 2015","International Journal of Computer Assisted Radiology and Surgery","","10","1","10.1007/s11548-015-1213-2","","2015","http://link.springer.com/article/10.1007/s11548-015-1213-2","Article"
"Exploring the Effect of Animation and Progressive Revealing on Diagrammatic Problem Solving","Diagrammatic Representation and Inference","","","","10.1007/11783183_31","Daesub YoonN. Hari NarayananSooCheol LeeOh-Cheon Kwon","2006","http://link.springer.com/chapter/10.1007/11783183_31","Chapter"
"The Quest for Integrating Data in Mixed Research: User Experience Research Revisited","Current Trends in Eye Tracking Research","","","","10.1007/978-3-319-02868-2_12","Annika Wiklund-EngblomJoachim Högväg","2014","http://link.springer.com/chapter/10.1007/978-3-319-02868-2_12","Chapter"
"Abilities to Explicitly and Implicitly Infer Intentions from Actions in Adults with Autism Spectrum Disorder","Journal of Autism and Developmental Disorders","","48","5","10.1007/s10803-017-3425-5","Eleanor J. ColeKatie E. SlocombeNick E. Barraclough","2018","http://link.springer.com/article/10.1007/s10803-017-3425-5","Article"
"Skipped words and fixated words are processed differently during reading","Psychonomic Bulletin & Review","","22","2","10.3758/s13423-014-0682-6","Michael A. EskenaziJocelyn R. Folk","2015","http://link.springer.com/article/10.3758/s13423-014-0682-6","Article"
"The E-Learning Case","Human-Centred Web Adaptation and Personalization","","","","10.1007/978-3-319-28050-9_6","Panagiotis GermanakosMarios Belk","2016","http://link.springer.com/chapter/10.1007/978-3-319-28050-9_6","Chapter"
"Abstracts","Annals of Behavioral Medicine","","49","1","10.1007/s12160-015-9688-1","","2015","http://link.springer.com/article/10.1007/s12160-015-9688-1","Article"
"How to Investigate Interaction with Information Visualisation: An Overview of Methodologies","Building Bridges: HCI, Visualization, and Non-formal Modeling","","","","10.1007/978-3-642-54894-9_3","Margit PohlFlorian Scholz","2014","http://link.springer.com/chapter/10.1007/978-3-642-54894-9_3","Chapter"
"Analyzing Reading Pattern of Simple C Source Code Consisting of Only Assignment and Arithmetic Operations Based on Data Dependency Relationship by Using Eye Movement","Human Interface and the Management of Information. Interaction, Visualization, and Analytics","","","","10.1007/978-3-319-92043-6_44","Shimpei MatsumotoRyo HanafusaYusuke HayashiTsukasa Hirashima","2018","http://link.springer.com/chapter/10.1007/978-3-319-92043-6_44","Chapter"
"Attentional Characteristics of Anomaly Detection in Conceptual Modeling","Information Systems and Neuroscience","","","","10.1007/978-3-030-01087-4_7","Karl-David BoutinPierre-Majorique LégerChristopher J. DavisAlan R. HevnerÉlise Labonté-LeMoyne","2019","http://link.springer.com/chapter/10.1007/978-3-030-01087-4_7","Chapter"
"Disambiguation and Integration in Korean Relative Clause Processing","Journal of Psycholinguistic Research","","46","4","10.1007/s10936-016-9461-z","Michael MansbridgeSunju ParkKatsuo Tamaoka","2017","http://link.springer.com/article/10.1007/s10936-016-9461-z","Article"
"Evaluation of Two New Ecological Interface Approaches for the Anesthesia Workplace","Journal of Clinical Monitoring and Computing","","16","4","10.1023/A:1011462726040","Andreas JungkBernhard ThullAndreas HoeftGünter Rau","2000","http://link.springer.com/article/10.1023/A%3A1011462726040","Article"
"The Investigation of Pilots’ Eye Scan Patterns on the Flight Deck during an Air-to-Surface Task","Engineering Psychology and Cognitive Ergonomics","","","","10.1007/978-3-319-07515-0_33","Wen-Chin LiGraham BraithwaiteChung-san Yu","2014","http://link.springer.com/chapter/10.1007/978-3-319-07515-0_33","Chapter"
"CARS 2018—Computer Assisted Radiology and Surgery Proceedings of the 32nd International Congress and Exhibition Berlin, Germany, June 20–23, 2018","International Journal of Computer Assisted Radiology and Surgery","","13","1","10.1007/s11548-018-1766-y","","2018","http://link.springer.com/article/10.1007/s11548-018-1766-y","Article"
"27th International Congress of the European Association for Endoscopic Surgery (EAES) Sevilla, Spain, 12–15 June 2019","Surgical Endoscopy","","33","2","10.1007/s00464-019-07109-x","","2019","http://link.springer.com/article/10.1007/s00464-019-07109-x","Article"
"Abstracts of the 16th International Congress of ESCAP European Society for Child and Adolescent Psychiatry","European Child & Adolescent Psychiatry","","24","1","10.1007/s00787-015-0714-4","","2015","http://link.springer.com/article/10.1007/s00787-015-0714-4","Article"
"Modeling cognitive load and physiological arousal through pupil diameter and heart rate","Multimedia Tools and Applications","","","","10.1007/s11042-018-6518-z","Petar JerčićCharlotte SennerstenCraig Lindley","2018","http://link.springer.com/article/10.1007/s11042-018-6518-z","Article"
"Comparing the Usability of Graphical Modeling Languages Using FUEML","Usability Evaluation of Modeling Languages","","","","10.1007/978-3-658-00051-6_6","Christian Schalles","2013","http://link.springer.com/chapter/10.1007/978-3-658-00051-6_6","Chapter"
"Template Construction Grammar: From Visual Scene Description to Language Comprehension and Agrammatism","Neuroinformatics","","12","1","10.1007/s12021-013-9197-y","Victor BarrèsJinyong Lee","2014","http://link.springer.com/article/10.1007/s12021-013-9197-y","Article"
"Bilingual Figurative Language Processing","Psychology of Bilingualism","","","","10.1007/978-3-319-64099-0_4","Anna B. Cieślicka","2017","http://link.springer.com/chapter/10.1007/978-3-319-64099-0_4","Chapter"
"Comparing eye movements during mathematical word problem solving in Chinese and German","ZDM","","","","10.1007/s11858-019-01080-6","Anselm R. StrohmaierAnja Schiepe-TiskaYu-Ping ChangFabian MüllerFou-Lai LinKristina M. Reiss","2019","http://link.springer.com/article/10.1007/s11858-019-01080-6","Article"
"Reading time data for evaluating broad-coverage models of English sentence processing","Behavior Research Methods","","45","4","10.3758/s13428-012-0313-y","Stefan L. FrankIrene Fernandez MonsalveRobin L. ThompsonGabriella Vigliocco","2013","http://link.springer.com/article/10.3758/s13428-012-0313-y","Article"
